element,cell,c,alpha,beta,a_q,b_q,g_q,refit_sextic,rms_meV,d0_A,depth_eV,min_bracketed,E_edge_meV,d_max,n_pts
Li,1x1,5.5,-0.1551559912085646,1.4157979568927097,-0.1551559912085646,1.4157979568927097,0.0,False,2.5177809954603827,0.234,0.004250848361231555,True,1263.0390780577727,1.0,6
Li,1x1,6.9,-0.8902096612418842,0.21026192890125955,-0.8654630069240878,0.1365107112523102,0.050215794241915426,True,0.08100091762745529,1.287,0.8308031189368366,False,-678.6240813034965,1.0,6
Li,1x1,8.4,-0.39375009700941976,-0.028092838738116258,-0.38779307648319256,-0.04584624943956939,0.012087957966963433,True,0.04331284732559688,2.184,1.580985901307763,False,-421.6242391066771,1.0,6
Li,1x1,9.9,-0.1383541922095126,-0.020448562453893378,-0.13704233599205864,-0.024358222018688376,0.002662012460621229,True,0.43471246162703897,2.863,1.2938465871388356,False,-159.15912603850302,1.0,6
Na,1x1,5.5,2.454989129948787,2.584741280843877,2.454989129948787,2.584741280843877,0.0,False,5.9902550998885005,0.0,-0.0,True,5045.204755444502,1.0,6
Na,1x1,6.9,-0.5057444457631518,0.5351681011791457,-0.5057444457631518,0.5351681011791457,0.0,False,2.4843805391485074,0.687,0.11948447071431058,True,31.790926493158622,1.0,6
Na,1x1,8.4,-0.4209632604876646,0.04176648954232483,-0.4167906557468521,0.0293310840544818,0.008467029880877388,True,0.04378629747488949,1.749,0.7581327659199717,False,-379.0459027641191,1.0,6
Na,1x1,9.9,-0.19253150150094053,-0.017365657872937975,-0.19121964528568425,-0.021275317435477135,0.002662012460621229,True,0.025216585194346067,2.87,1.5308609899761916,False,-209.8499929652462,1.0,6
Na,s3,5.5,3.0489520398533974,2.277331230181438,3.0489520398533974,2.277331230181438,0.0,False,0.7756687691915631,0.0,-0.0,True,2436.2155462913506,0.75,4
Na,s3,6.9,-0.34647684313485166,0.5579091007861815,-0.34647684313485166,0.5579091007861815,0.0,False,0.45242416894039,0.557,0.05379286492229102,True,-18.0067266774131,0.75,4
Na,s3,8.4,-0.6918951332690135,0.0864714391853259,-0.6886535466887199,0.06822048956870365,0.022539339047347902,True,3.595578530948778e-05,1.5290000000000001,0.9491076168876718,False,-361.7707542034623,0.75,4
Na,s3,9.9,-0.3502706546202566,-0.027497070691525155,-0.3496732014716869,-0.030860882468091762,0.004154199938414409,True,0.044642035125219,2.8850000000000002,2.6530163657041004,False,-205.76801291463198,0.75,4
